"x","y","z"
331372,4759099,-1676
324242,4763733,-346
330697,4758945,-2483
321244,4772019,-2018
321009,4772448,-3298
323818,4774506,-3455
330472,4760543,-864
321222,4771816,-2392
320947,4772698,-3933
330478,4763208,-4297
322374,4772604,-5365
331517,4759060,-1704
328716,4766988,-3920
322849,4769945,-5558
324395,4766380,-4429
329847,4767972,-1792
321613,4777388,-5656
321614,4772179,-3517
331380,4762969,-554
320437,4775858,-9041
326751,4767332,-1178
326950,4767873,-1899
324178,4769955,-4314
322465,4771048,-6167
324864,4764508,-4541
322584,4770879,-6221
329876,4767267,-1643
321785,4771642,-4027
330206,4764564,-2026
326877,4769410,-1607
329505,4754244,-6717
325919,4765623,-2843
330570,4756268,-4207
330272,4756156,-4252
329775,4766393,-2764
322418,4768866,-6022
320571,4772115,-1895
323256,4773831,-3932
323179,4772435,-4255
331967,4764540,-1118
326634,4767090,-3975
326547,4767132,-3607
326812,4767615,-1583
324536,4772480,-1716
324341,4772336,-1686
324114,4771994,-1621
324555,4772469,-1384
324513,4772366,-1487
320017,4772669,-5247
324192,4772281,-1981
327679,4769432,-1145
324109,4772267,-1823
324099,4771957,-1674
330230,4764996,-1642
323012,4777480,-4279
323737,4778555,-1129
328870,4763498,-3334
326755,4767319,-1097
330871,4756160,-4445
321971,4777037,-4745
321523,4775329,-3361
325960,4765547,-2622
330890,4758579,-2159
325587,4766816,-4921
326718,4767279,-1116
321626,4771266,-2471
326648,4768757,-1764
329003,4766724,-3308
324973,4764641,-4117
325055,4764860,-4388
331307,4757869,-2138
332723,4764876,-870
330985,4758953,-2934
324879,4761947,-1179
326848,4767582,-1225
326864,4767577,-1038
327060,4767699,179
331288,4758082,-1947
329888,4767509,-6164
325170,4765247,-4222
330756,4756448,-1561
330351,4762716,-16
331902,4760798,-580
330600,4759383,-2276
320454,4774452,-4374
322534,4773190,-2930
323694,4770053,-4257
329459,4757136,-4575
325868,4766631,-2048
323503,4766510,-5633
323725,4766583,-5671
323564,4765549,-3857
324511,4768493,-3288
332530,4758697,-1402
326687,4767181,-3368
323731,4766473,-6119
321107,4766537,-7682
326215,4774859,-1171
327403,4770522,-797
331065,4757481,-2089
332318,4764948,-129
327434,4771371,-592
331064,4757956,-2395
330856,4757782,-2222
321285,4773046,-4958
332872,4757166,-5264
321455,4774738,-3002
329839,4766800,-1780
328128,4767810,-879
329517,4756339,-4615
324406,4763590,-1019
330214,4756210,-3657
329669,4756295,-4587
327308,4769383,-1481
321097,4773032,-3051
330614,4756535,-1509
321411,4774852,-3015
324659,4767280,-3982
325321,4764591,-5965
326366,4766135,-4064
325174,4767294,-4876
328229,4768401,-1117
329841,4757539,-2269
326428,4766123,-2984
329853,4757319,-2428
330348,4756396,-4244
329825,4757547,-2600
327608,4769564,-749
321276,4774938,-3563
321336,4774619,-3315
321381,4774540,-3085
326684,4766551,-2468
326252,4765145,-2719
324239,4766588,-5051
331196,4759421,-4966
323263,4767831,-3669
326268,4766031,-4013
330696,4767528,-1841
325796,4767786,-3292
323405,4765541,-4155
326714,4766414,-2750
323818,4766676,-4046
324091,4766397,-6112
328702,4768909,-600
330517,4766480,-2203
322189,4773124,-2746
323717,4766696,-5484
330943,4756253,-3976
330976,4756316,-2058
319944,4769356,-5169
333183,4764433,186
328202,4767455,-2231
330107,4757618,-3396
330577,4762100,-6709
324207,4763887,-286
330354,4756660,-1489
325177,4770042,-2684
323987,4767605,-4104
317260,4776585,-7874
326821,4765988,-1601
326769,4765886,-1566
319608,4778300,-6906
328963,4769421,-1456
321817,4769654,-7130
329789,4756180,-4430
329245,4762143,-3897
322159,4772806,-2228
325043,4770078,-2706
326847,4768088,-1934
331497,4756585,-3214
331276,4756213,-4423
326623,4765649,-2124
320736,4771598,-3031
322442,4771817,-2805
330132,4758523,-2518
321659,4772263,-4045
326169,4762943,-255
332115,4755923,-3341
330644,4756598,-3875
324171,4762465,-115
326012,4773622,-1679
320636,4778319,-5203
328467,4768263,-740
330219,4763659,-2667
326238,4766221,-3585
329900,4756995,-1749
329368,4760944,-1933
328880,4769426,-1341
330443,4756774,-2541
330309,4764355,-1584
326033,4767320,-3775
327760,4769686,-525
329863,4756366,-4074
331495,4756838,-3357
328802,4766729,-3589
331682,4756872,-2977
328499,4768194,-3282
331447,4756698,-3538
329460,4767113,-2368
330251,4757159,-3135
325202,4766646,-4953
331842,4756889,-3086
330761,4758117,-2157
331846,4756753,-2899
331225,4756696,-3351
333223,4755945,-2899
332369,4764245,-1115
331024,4758045,-2272
325028,4765530,-4091
331988,4756827,-2995
328479,4769437,-1083
331512,4754986,-5141
330670,4767847,-1056
326969,4771631,-541
329588,4757398,-3314
321050,4776043,-5811
333247,4757259,-1653
332963,4756693,-2011
326957,4771025,-720
330368,4758300,-1207
333895,4755133,-2519
323270,4774261,-1943
332250,4760468,-159
330107,4764308,-2387
330451,4759119,-1967
329067,4767107,-2050
329717,4768431,-626
326478,4766219,-2713
332722,4757019,-2323
331398,4755660,-3927
328762,4768466,-75
328919,4769327,-1225
330520,4758351,-1544
333273,4756647,-1831
323531,4765306,-4836
327811,4771715,-243
330406,4758553,-2147
330356,4758677,-2182
331691,4755395,-4903
330281,4758898,-2243
330452,4758706,-2087
332927,4756415,-2341
332249,4763428,-380
328995,4768450,-1992
323479,4767700,-3575
333856,4755460,-2462
330156,4758506,-3082
330510,4758883,-2215
320982,4772798,-3282
326871,4761927,-1195
329985,4760482,-4639
331886,4755491,-4250
332210,4765786,-1004
329481,4768736,-67
332300,4765786,-1066
331308,4754177,-5743
332711,4755365,-3166
329629,4767778,-1970
332884,4754105,-3737
330198,4757950,-2527
323031,4773239,-2649
326850,4764322,-1732
321565,4771500,-3502
330278,4758090,-3011
329955,4757254,-1767
328956,4756534,-4740
333090,4768212,-92
327639,4762017,-932
333426,4756574,-2003
333260,4755077,-3007
324375,4765546,-5378
330270,4757828,-2727
330229,4757860,-2860
